Ecole,Age,Habitat,Parcelle,Nb arbres,Temps,Ganivelles,Emplacement,Enfantsparm2,Surface, Argile,Limon,Sable, MO,N_Tot, Cu, Ni, Pb, Zn,Plagiolepis_pygmaea,Messor_groupe_ibericus,Lasius_groupe_niger,Monomorium_monorium,Crematogaster_scutellaris,Proformica_nasuta,Pheidole_pallidula,Tetramorium_sp,Tapinoma_madeirense,Colobopsis_truncata,Camponotus_piceus,Campanotus_lateralis,Messor_barbarus,Lasius_lasioides,Temnothorax_unifasciatus,Tapinoma_glabrella,Linepithema_humile,Camponotus_fallax,Camponotus_aethiops,Temnothorax_continentalis,Formica_cunicularia,Solenopsis_sp,Tapinoma_erraticum,Tapinoma_groupe_nigerrimum,Hypoponera_eduardi,Formica_rufibarbis,Temnothorax_lichtensteini,Temnothorax_recedens,Themnothorax_sp,Species,Nb_AppatsAnt,Nb_Appats,Activity
Jean Zay,2022,CpPl,CpPl_35Jea,1,2,0,0,6.1,20.3,330,276.0,393.0,57.1,2.5,42.5,19.2,23.8,67.1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,2,100.0
Jean Zay,2022,CpPl,CpPl_36Jea,1,2,0,0,6.1,15.3,289,253.0,458.0,54.0,2.6,42.0,20.6,26.4,66.2,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,1,100.0
Sibelius,2023,CpUt,CpPl_37Sib,2,1,0,1,7.4,66.9,212,207.3,581.0,31.0,1.6,43.1,13.4,63.4,71.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,6,33.33333333333333
Heidelberg,2023,CpUt,CpPl_38Hei,1,1,0,1,7.5,53.27,238,216.0,546.0,37.4,1.8,40.1,14.9,61.5,91.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,5,40.0
Dickens,2023,CpPl,CpPl_40Dic,3,1,0,0,5.3,52.07,198,203.4,599.0,32.6,1.7,44.7,13.1,58.0,52.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5,0.0
Dickens,2023,CpPl,CpPl_41Dic,1,1,0,0,5.3,59.78,359,303.0,337.0,47.5,1.9,45.2,8.6,20.4,36.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,5,20.0
Dickens,2023,EvEx,CpPl_42Dic,1,1,0,0,5.3,34.52,258,245.0,497.0,64.4,3.4,92.7,17.8,33.8,69.1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,3,100.0
Petit Prince,2023,EvEx,CpPl_45Pri,3,1,1,1,9.2,55.67,392,282.0,326.0,49.4,2.2,74.8,21.8,56.0,88.4,4.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5,6,6,100.0
Petit Prince,2023,CpPl,CpPl_46Pri,1,1,1,1,9.2,17.43,439,251.7,310.0,75.8,2.4,35.5,14.9,21.3,52.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,100.0
Petit Prince,2023,CpPl,CpPl_47Pri,1,1,1,1,9.2,34.8,447,268.0,285.0,75.1,2.3,38.9,22.0,26.9,53.7,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,3,66.66666666666666
